mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-306.16803,143.80981,77.39122,63.444405,-1.8720181,32.730488,33.5576,31.297726,8.346006,22.712345,10.154938,17.0656,-7.2793217,16.284061,6.8928657,12.880025,3.0660434,13.03851,2.415581,11.582625,-11.951904,14.6554,-1.5555996,9.843555,-7.8059044,11.104492,2097.195704,1325.590117,2016.819268,581.2261738,4014.988978,2157.535221,0.113893598,0.113840324,0.055640247,0.052710712,German
-325.35428,143.5635,95.32254,64.58678,1.7324858,28.56399,35.98638,34.524162,2.9574122,21.025288,12.339073,16.20143,2.1304784,15.860068,11.662284,13.670842,5.0525317,14.520896,7.839068,11.415193,-11.218125,13.872688,-2.9642096,11.258218,-7.054471,12.046257,1718.751554,1138.681132,1847.257573,527.6441401,3318.14058,1993.849496,0.088879789,0.093003358,0.05503697,0.049090505,German
-335.8632,155.06136,85.36984,69.024765,2.609558,29.229643,33.242546,32.62773,4.823755,22.448229,11.3241625,16.362152,-0.9553983,14.681543,7.4756393,12.128619,3.2054276,13.065802,10.34207,10.643957,-8.077751,13.923347,-0.0648738,9.90272,-5.3338623,11.519898,2013.1835,1206.300445,2081.504695,699.6678398,4123.761116,2324.890805,0.10010899,0.09212376,0.052965894,0.052080445,German
-344.43686,146.19385,81.675064,62.93381,-2.1110682,29.491346,28.929457,29.93671,3.484171,19.383505,7.642227,15.190016,-1.4146124,14.958739,9.387549,12.673158,4.9301753,12.745495,4.063952,10.364528,-11.999533,13.537176,-2.1637113,9.81087,-0.7221038,10.941447,1884.362755,1109.243479,1937.265826,548.5950215,3702.578981,1975.898941,0.100872268,0.091939213,0.040921222,0.04312812,German
-274.6048,134.46222,78.05422,60.08326,0.051342305,35.26295,21.513624,27.95328,0.89080024,19.289972,5.4547887,16.878862,-15.66258,17.91215,-3.0419786,15.835917,-13.370802,16.994131,0.7913108,12.910469,-5.206011,10.723578,-0.21613511,11.602025,-7.6842103,11.598669,2408.745441,1531.635343,2196.887831,523.4265979,4521.92335,2264.721915,0.133719337,0.133988377,0.064038776,0.049471207,German
-273.73038,136.63315,78.04609,58.674904,7.067662,30.417418,22.352417,28.362648,1.8468126,18.713991,4.3278975,16.798973,-10.767094,17.164799,-3.042523,14.937202,-16.382639,17.563524,-1.0538614,13.26271,-5.6223993,10.589146,0.62775785,10.498088,-8.49064,11.753973,2265.912415,1477.020893,2208.164045,617.4277723,4367.684691,2373.96634,0.119124855,0.123956464,0.07296387,0.05665595,German
-260.78165,132.25432,69.05944,57.11571,7.584429,28.796028,20.440054,25.894318,3.0137353,18.506208,5.371479,16.053993,-10.007326,16.228071,1.9367967,13.593483,-12.849109,15.781235,-2.7946615,12.118244,-6.4691076,10.46136,-0.22006387,11.933988,-6.486291,11.177889,2406.688657,1530.834268,2277.095725,665.0837954,4698.492936,2387.428374,0.125192955,0.128822203,0.075396955,0.061428122,German
-279.17142,133.60478,62.268864,56.32796,7.554527,27.570894,18.709496,25.29254,1.2704148,18.338387,2.8255615,17.335314,-9.943572,16.198042,1.2005007,13.503085,-13.10012,16.829037,-2.0403848,12.464609,-6.9648604,11.313014,0.8310689,10.955317,-6.7973347,11.998758,2488.448321,1495.99777,2341.06389,585.8957495,4892.41565,2295.027363,0.126314764,0.127700259,0.06520365,0.06173322,German
-274.4088,128.01135,64.35008,55.245197,6.343793,28.763453,17.38882,26.084192,-1.7394874,19.93686,3.9384484,16.053303,-7.747344,15.916077,1.9253473,14.363393,-11.800349,16.141365,-2.009289,11.77825,-6.197566,10.563129,0.30338806,11.19259,-5.441706,10.833638,2515.388622,1451.133748,2382.314523,496.2420362,4962.599351,2192.081,0.128618399,0.128479636,0.060014404,0.052687824,German
-278.63297,141.01036,64.07375,60.79222,9.266044,28.85602,21.292637,25.548248,0.8968769,18.645117,3.6429749,16.525936,-11.085291,16.709808,2.4215193,15.522818,-13.070769,16.6198,-0.7217147,12.147565,-8.076238,11.374142,0.51632804,11.357415,-5.5072117,10.499674,2547.658535,1696.849007,2250.047807,688.7613728,4820.536609,2504.559985,0.141470003,0.144606724,0.06607346,0.055073895,German
-328.6878,155.00801,89.48124,65.547195,-2.6847835,31.589317,36.69921,33.90754,5.7735643,20.958536,10.038178,15.361459,-3.4091437,15.9647,10.302762,12.808107,3.655502,14.178281,8.015587,11.505554,-9.995194,15.100124,-3.3928154,11.053136,-5.520843,12.121674,1826.976002,1101.868511,1927.590756,574.6362701,3657.863461,1968.35489,0.090086524,0.088388624,0.056253944,0.051802117,German
-289.42764,139.72348,86.14182,62.88094,-2.1131117,29.674961,36.015278,32.70802,2.530905,19.85809,9.139368,15.897403,-0.94715893,16.61186,9.853344,13.052239,2.925095,14.371944,7.78522,11.683786,-11.862811,13.691046,-6.2756205,10.072887,-4.4524274,12.276355,1874.419324,1129.358738,1917.069729,537.5039451,3664.340721,1950.657885,0.095049552,0.090251875,0.06731882,0.0603555,German
