mfcc_mean_1,mfcc_std_1,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13,spec_cent_mean,spec_cent_std,spec_bw_mean,spec_bw_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,label
-225.1974,100.49844,80.7094,55.851078,-44.71589,42.427883,39.15296,27.74815,-9.491061,20.346998,-11.441938,21.306341,13.1498995,13.336236,-14.784856,14.381165,-28.76201,14.336603,-20.401293,16.232115,-10.766307,9.699578,-3.4863415,11.208301,-15.081412,10.439479,2541.014814904088,1403.0475269568608,1872.8381889055079,582.5107450896868,4234.8086145754,2099.9050746648313,0.16567442313642422,0.1255178332611552,0.07757497,0.047082018,German
-174.45863,120.98714,57.426807,55.790005,-55.725765,40.575573,35.256557,27.84504,-20.250675,20.015055,-10.257197,18.835781,3.6557918,12.4478445,-19.224611,15.420007,-29.0355,14.534216,-22.544613,15.906064,-17.437641,10.384684,-4.557381,11.801602,-22.469675,11.769554,2808.6165387687593,1282.9941053217506,1939.6912207334444,540.9833783357699,4739.942694213438,1870.0716922930494,0.194998618539957,0.12396819171389073,0.12120819,0.07125155,German
-319.19864,144.3757,80.25416,63.94679,6.3899193,29.466042,34.174942,31.590422,5.628935,22.911806,13.040099,16.138737,-0.8812948,16.48688,9.028926,12.878602,4.082978,13.062577,3.8699405,11.132822,-9.996962,15.559885,-0.1993837,11.060452,-2.7984772,11.693219,1799.869966843663,1224.9365389101674,1953.6752742218832,573.3537277249554,3523.963612472931,2162.8648493663973,0.09181931525956448,0.09884585277945983,0.056501817,0.056689654,German
-321.5195,141.22052,82.01776,63.737053,4.0927815,30.185432,36.644035,33.863434,7.4589586,22.52127,11.69828,15.759059,-3.958869,15.873516,8.238246,12.179189,5.8280296,11.878927,6.0018697,10.925213,-10.261729,14.409146,-1.9831195,9.856662,-5.8909245,11.872285,1870.7332071153955,1180.1589357526693,1990.0610235554918,567.6446122218307,3730.7344184173962,2098.3029146187005,0.09126566973307511,0.09342582714038498,0.052883238,0.049336374,German
-306.16803,143.80981,77.39122,63.444405,-1.8720181,32.730488,33.5576,31.297726,8.346006,22.712345,10.154938,17.0656,-7.2793217,16.284061,6.8928657,12.880025,3.0660434,13.03851,2.415581,11.582625,-11.951904,14.6554,-1.5555996,9.843555,-7.8059044,11.104492,2097.1957038316655,1325.5901173289924,2016.8192677720701,581.226173846896,4014.98897812687,2157.535221499364,0.11389359792580774,0.11384032428129619,0.055640247,0.052710712,German
-325.35428,143.5635,95.32254,64.58678,1.7324858,28.56399,35.98638,34.524162,2.9574122,21.025288,12.339073,16.20143,2.1304784,15.860068,11.662284,13.670842,5.0525317,14.520896,7.839068,11.415193,-11.218125,13.872688,-2.9642096,11.258218,-7.054471,12.046257,1718.7515537460893,1138.6811319148385,1847.2575733670758,527.6441400511479,3318.1405802719464,1993.849496051464,0.08887978945156307,0.09300335781856843,0.05503697,0.049090505,German
-335.8632,155.06136,85.36984,69.024765,2.609558,29.229643,33.242546,32.62773,4.823755,22.448229,11.3241625,16.362152,-0.9553983,14.681543,7.4756393,12.128619,3.2054276,13.065802,10.34207,10.643957,-8.077751,13.923347,-0.0648738,9.90272,-5.3338623,11.519898,2013.1834999312707,1206.300445025039,2081.504694757392,699.667839775334,4123.76111619016,2324.8908053472423,0.10010898966392649,0.0921237597968293,0.052965894,0.052080445,German
-344.43686,146.19385,81.675064,62.93381,-2.1110682,29.491346,28.929457,29.93671,3.484171,19.383505,7.642227,15.190016,-1.4146124,14.958739,9.387549,12.673158,4.9301753,12.745495,4.063952,10.364528,-11.999533,13.537176,-2.1637113,9.81087,-0.7221038,10.941447,1884.3627553536867,1109.2434790550292,1937.2658261440486,548.5950214803908,3702.578980598565,1975.8989412373085,0.10087226798527191,0.09193921301525308,0.040921222,0.04312812,German
-274.6048,134.46222,78.05422,60.08326,0.051342305,35.26295,21.513624,27.95328,0.89080024,19.289972,5.4547887,16.878862,-15.66258,17.91215,-3.0419786,15.835917,-13.370802,16.994131,0.7913108,12.910469,-5.206011,10.723578,-0.21613511,11.602025,-7.6842103,11.598669,2408.745441195025,1531.6353425346235,2196.88783126585,523.4265978866329,4521.9233504143685,2264.721915314926,0.13371933707587427,0.13398837659294782,0.064038776,0.049471207,German
-273.73038,136.63315,78.04609,58.674904,7.067662,30.417418,22.352417,28.362648,1.8468126,18.713991,4.3278975,16.798973,-10.767094,17.164799,-3.042523,14.937202,-16.382639,17.563524,-1.0538614,13.26271,-5.6223993,10.589146,0.62775785,10.498088,-8.49064,11.753973,2265.9124145875767,1477.02089317691,2208.1640451963576,617.427772318028,4367.6846913479,2373.966340060248,0.11912485491522003,0.12395646384955857,0.07296387,0.05665595,German
-260.78165,132.25432,69.05944,57.11571,7.584429,28.796028,20.440054,25.894318,3.0137353,18.506208,5.371479,16.053993,-10.007326,16.228071,1.9367967,13.593483,-12.849109,15.781235,-2.7946615,12.118244,-6.4691076,10.46136,-0.22006387,11.933988,-6.486291,11.177889,2406.6886571878067,1530.8342683675949,2277.09572453375,665.0837954179334,4698.492935742932,2387.4283743086994,0.12519295485228715,0.1288222025351084,0.075396955,0.061428122,German
-279.17142,133.60478,62.268864,56.32796,7.554527,27.570894,18.709496,25.29254,1.2704148,18.338387,2.8255615,17.335314,-9.943572,16.198042,1.2005007,13.503085,-13.10012,16.829037,-2.0403848,12.464609,-6.9648604,11.313014,0.8310689,10.955317,-6.7973347,11.998758,2488.448321044075,1495.997769729398,2341.063889672395,585.8957494543274,4892.415650250161,2295.0273634848168,0.12631476415346746,0.12770025900008336,0.06520365,0.06173322,German
-274.4088,128.01135,64.35008,55.245197,6.343793,28.763453,17.38882,26.084192,-1.7394874,19.93686,3.9384484,16.053303,-7.747344,15.916077,1.9253473,14.363393,-11.800349,16.141365,-2.009289,11.77825,-6.197566,10.563129,0.30338806,11.19259,-5.441706,10.833638,2515.388621662126,1451.1337483606537,2382.31452341591,496.24203623722036,4962.5993513748635,2192.0809998617256,0.1286183986080786,0.12847963632880163,0.060014404,0.052687824,German
